Gyro_X,Gyro_Y,Time,Gesture,Type
2.25,-77.06,0,5,U
8.63,-88.54,50,5,U
6.14,-89.13,100,5,U
6.47,-93.53,150,5,U
3.69,-82.80,200,5,U
2.39,-83.67,250,5,U
9.13,-72.20,300,5,U
-0.97,-58.57,350,5,U
-7.27,-38.74,400,5,U
2.72,14.43,450,5,U
-1.24,-59.06,0,6,U
-2.87,-60.88,50,6,U
-2.48,-57.36,100,6,U
-0.53,-51.29,150,6,U
-10.05,-33.94,200,6,U
-4.25,-40.03,250,6,U
-4.10,-50.33,300,6,U
3.08,-37.77,350,6,U
6.47,-54.73,400,6,U
2.85,-44.55,450,6,U
-18.85,-64.23,0,7,U
-11.23,-87.98,50,7,U
-4.19,-70.17,100,7,U
7.66,-72.02,150,7,U
4.78,-78.25,200,7,U
5.83,-72.01,250,7,U
0.71,-69.27,300,7,U
7.31,-79.17,350,7,U
8.10,-59.96,400,7,U
-5.00,-52.01,450,7,U
0.49,-13.08,0,8,U
10.47,-20.10,50,8,U
-3.36,-37.15,100,8,U
-15.35,-56.63,150,8,U
-14.38,-73.44,200,8,U
-12.32,-97.10,250,8,U
-10.09,-113.47,300,8,U
5.55,-112.22,350,8,U
-2.05,-89.67,400,8,U
-19.51,-72.17,450,8,U
-6.23,-36.62,0,9,U
-7.60,-50.47,50,9,U
6.23,-69.43,100,9,U
-4.97,-66.73,150,9,U
-0.87,-58.13,200,9,U
-4.15,-53.29,250,9,U
3.83,-77.05,300,9,U
2.31,-70.91,350,9,U
7.90,-62.84,400,9,U
4.79,-51.26,450,9,U
79.93,14.71,0,14,R
138.53,11.75,50,14,R
129.80,-0.65,100,14,R
134.68,3.81,150,14,R
108.93,7.07,200,14,R
107.73,7.81,250,14,R
88.70,6.36,300,14,R
88.67,-17.83,350,14,R
70.77,-4.75,400,14,R
50.57,-6.06,450,14,R
2.97,3.30,0,15,R
5.69,1.03,50,15,R
11.12,2.39,100,15,R
53.67,10.16,150,15,R
78.60,6.57,200,15,R
92.69,17.37,250,15,R
85.28,0.31,300,15,R
97.03,1.83,350,15,R
85.31,-2.59,400,15,R
84.96,-1.19,450,15,R
76.07,9.17,0,16,R
99.28,-5.63,50,16,R
80.09,4.12,100,16,R
111.80,4.31,150,16,R
80.86,12.42,200,16,R
109.25,8.91,250,16,R
94.24,10.83,300,16,R
109.11,12.41,350,16,R
70.06,1.42,400,16,R
43.97,-5.72,450,16,R
70.75,-11.25,0,17,R
125.22,-10.43,50,17,R
87.93,-16.96,100,17,R
116.84,-8.33,150,17,R
101.58,-29.81,200,17,R
70.27,-10.57,250,17,R
147.23,-16.11,300,17,R
93.84,-28.97,350,17,R
59.29,-10.90,400,17,R
16.67,-15.17,450,17,R
74.10,-15.47,0,18,R
121.30,-23.29,50,18,R
84.72,-28.63,100,18,R
191.90,-35.30,150,18,R
63.21,-33.77,200,18,R
106.09,-25.86,250,18,R
124.61,-36.47,300,18,R
33.19,-14.07,350,18,R
119.73,-24.19,400,18,R
32.80,-17.69,450,18,R
35.69,-1.96,0,19,R
75.69,-24.93,50,19,R
150.21,-13.64,100,19,R
172.79,-2.02,150,19,R
158.47,-0.35,200,19,R
153.41,-4.89,250,19,R
195.68,-8.50,300,19,R
128.83,-3.15,350,19,R
147.44,-0.24,400,19,R
40.26,-23.65,450,19,R
.85,3.31,450,20,D
-44.13,100.05,0,21,D
-36.15,76.04,50,21,D
-19.77,93.90,100,21,D
-18.90,105.18,150,21,D
-20.09,117.55,200,21,D
21.57,122.33,250,21,D
-1.81,81.94,300,21,D
-18.07,1.73,350,21,D
-0.80,7.71,400,21,D
8.51,29.37,450,21,D
23.57,76.90,0,22,D
30.44,76.63,50,22,D
46.21,89.50,100,22,D
35.56,73.06,150,22,D
34.83,81.51,200,22,D
31.95,69.10,250,22,D
18.66,70.25,300,22,D
6.93,46.61,350,22,D
-3.77,46.40,400,22,D
4.77,40.85,450,22,D
3.92,72.41,0,23,D
2.92,86.31,50,23,D
11.15,62.58,100,23,D
8.89,82.65,150,23,D
19.48,70.69,200,23,D
13.40,75.10,250,23,D
27.11,80.85,300,23,D
27.27,81.12,350,23,D
24.47,64.82,400,23,D
17.06,54.57,450,23,D
-3.71,60.02,0,24,D
8.46,75.21,50,24,D
0.63,70.96,100,24,D
4.81,93.38,150,24,D
8.79,67.23,200,24,D
11.46,42.13,250,24,D
29.25,65.13,300,24,D
29.95,67.63,350,24,D
24.19,49.63,400,24,D
9.24,36.95,450,24,D
-16.62,45.37,0,25,D
2.41,52.27,50,25,D
-5.56,80.85,100,25,D
27.27,80.35,150,25,D
27.37,124.17,200,25,D
56.96,110.12,250,25,D
37.24,110.13,300,25,D
9.51,65.05,350,25,D
2.14,68.64,400,25,D
-2.58,20.89,450,25,D
-16.45,45.99,0,26,D
-30.85,68.51,50,26,D
-4.65,46.91,100,26,D
-10.01,40.38,150,26,D
11.27,30.44,200,26,D
9.45,36.66,250,26,D
14.87,63.67,300,26,D
0.12,72.49,350,26,D
2.05,73.89,400,26,D
-7.99,62.21,450,26,D
6.79,73.39,0,27,D
34.43,87.75,50,27,D
18.03,82.81,100,27,D
2.92,84.55,150,27,D
0.61,55.12,200,27,D
1.87,62.49,250,27,D
-20.17,50.50,300,27,D
-10.50,33.22,350,27,D
-4.97,20.09,400,27,D
1.37,9.23,450,27,D
2.59,53.51,0,28,D
-14.66,77.35,50,28,D
-9.02,56.69,100,28,D
-7.09,60.29,150,28,D
14.91,45.30,200,28,D
-2.29,44.31,250,28,D
1.86,51.63,300,28,D
13.67,43.61,350,28,D
-16.39,37.06,400,28,D
-4.47,30.38,450,28,D
-24.13,46.17,0,29,D
3.07,24.19,50,29,D
-5.58,34.29,100,29,D
10.04,16.79,150,29,D
2.95,32.40,200,29,D
-9.03,31.86,250,29,D
-13.69,44.28,300,29,D
-12.44,73.60,350,29,D
25.45,40.85,400,29,D
-2.33,35.57,450,29,D
13.05,39.33,0,30,D
-4.32,21.27,50,30,D
-2.47,37.25,100,30,D
0.67,40.87,150,30,D
-10.66,40.49,200,30,D
1.86,32.93,250,30,D
2.71,35.24,300,30,D
11.40,32.05,350,30,D
14.35,49.21,400,30,D
-5.17,43.79,450,30,D
0.91,2.29,0,31,D
1.53,-5.59,50,31,D
-2.65,5.80,100,31,D
-3.21,-2.01,150,31,D
1.22,-5.31,200,31,D
-3.15,11.71,250,31,D
3.27,16.35,300,31,D
3.91,43.27,350,31,D
20.33,86.60,400,31,D
33.35,158.47,450,31,D
-17.92,46.25,0,32,D
9.04,60.41,50,32,D
-19.97,73.38,100,32,D
-0.13,43.62,150,32,D
-0.51,57.74,200,32,D
-7.85,84.16,250,32,D
2.96,93.65,300,32,D
-2.09,71.45,350,32,D
-2.29,74.13,400,32,D
-5.75,57.85,450,32,D
-3.21,24.31,0,33,D
-5.52,26.43,50,33,D
-7.29,35.53,100,33,D
-4.15,44.98,150,33,D
0.06,59.27,200,33,D
7.94,68.67,250,33,D
27.71,91.59,300,33,D
18.57,85.51,350,33,D
18.59,79.28,400,33,D
20.87,85.38,450,33,D
-3.65,38.12,0,34,D
-1.51,43.57,50,34,D
-1.99,48.97,100,34,D
4.77,51.76,150,34,D
-2.42,49.18,200,34,D
6.05,49.33,250,34,D
7.56,57.78,300,34,D
20.01,80.31,350,34,D
9.94,85.93,400,34,D
25.57,70.47,450,34,D
1.90,16.71,0,35,D
6.30,21.95,50,35,D
15.41,37.11,100,35,D
26.96,67.01,150,35,D
46.52,110.99,200,35,D
36.66,105.89,250,35,D
29.34,86.18,300,35,D
20.13,66.65,350,35,D
20.52,61.94,400,35,D
21.96,61.28,450,35,D

-23.71,-12.15,0,37,U
-22.34,23.64,50,37,U
-1.22,10.42,100,37,U
1.27,-9.83,150,37,U
0.63,-9.02,200,37,U
12.19,-3.03,250,37,U
2.95,0.41,300,37,U
1.79,2.71,350,37,U
-13.29,-10.83,400,37,U
0.85,0.67,450,37,U
27.47,-64.15,0,38,U
7.53,-58.77,50,38,U
-2.61,-71.15,100,38,U
11.09,-92.29,150,38,U
-1.51,-74.63,200,38,U
7.62,-86.07,250,38,U
2.57,-60.51,300,38,U
18.86,-46.10,350,38,U
10.54,-33.11,400,38,U
5.09,-34.67,450,38,U
24.05,-39.66,0,39,U
