Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-1816,-1816,-1816,-1816,-1816,-1816,0,32,U
-1816,-1816,-1816,-1816,-1816,-1816,50,32,U
-1816,-1816,-1816,-1816,-1816,-1816,100,32,U
-1816,-1816,-1816,-1816,-1816,-1816,150,32,U
-1816,-1816,-1816,-1816,-1816,-1816,200,32,U
-1816,-1816,-1816,-1816,-1816,-1816,250,32,U
-1816,-1816,-1816,-1816,-1816,-1816,300,32,U
-1816,-1816,-1816,-1816,-1816,-1816,350,32,U
-1816,-1816,-1816,-1816,-1816,-1816,400,32,U
-1816,-1816,-1816,-1816,-1816,-1816,450,32,U
-1816,-1816,-1816,-1816,-1816,-1816,0,33,U
-1816,-1816,-1816,-1816,-1816,-1816,50,33,U
-1816,-1816,-1816,-1816,-1816,-1816,100,33,U
-1816,-1816,-1816,-1816,-1816,-1816,150,33,U
-1816,-1816,-1816,-1816,-1816,-1816,200,33,U
-1816,-1816,-1816,-1816,-1816,-1816,250,33,U
-1816,-1816,-1816,-1816,-1816,-1816,300,33,U
-1816,-1816,-1816,-1816,-1816,-1816,350,33,U
-1816,-1816,-1816,-1816,-1816,-1816,400,33,U
-1816,-1816,-1816,-1816,-1816,-1816,450,33,U
-1816,-1816,-1816,-1816,-1816,-1816,0,34,U
-1816,-1816,-1816,-1816,-1816,-1816,50,34,U
-1816,-1816,-1816,-1816,-1816,-1816,100,34,U
-1816,-1816,-1816,-1816,-1816,-1816,150,34,U
-1816,-1816,-1816,-1816,-1816,-1816,200,34,U
-1816,-1816,-1816,-1816,-1816,-1816,250,34,U
-1816,-1816,-1816,-1816,-1816,-1816,300,34,U
-1816,-1816,-1816,-1816,-1816,-1816,350,34,U
-1816,-1816,-1816,-1816,-1816,-1816,400,34,U
-1816,-1816,-1816,-1816,-1816,-1816,450,34,U
-1816,-1816,-1816,-1816,-1816,-1816,0,35,U
-1816,-1816,-1816,-1816,-1816,-1816,50,35,U
-1816,-1816,-1816,-1816,-1816,-1816,100,35,U
-1816,-1816,-1816,-1816,-1816,-1816,150,35,U
-1816,-1816,-1816,-1816,-1816,-1816,200,35,U
-1816,-1816,-1816,-1816,-1816,-1816,250,35,U
-1816,-1816,-1816,-1816,-1816,-1816,300,35,U
-1816,-1816,-1816,-1816,-1816,-1816,350,35,U
-1816,-1816,-1816,-1816,-1816,-1816,400,35,U
-1816,-1816,-1816,-1816,-1816,-1816,450,35,U
