Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
1204,1948,17024,-49,-847,1196,0,1,U
1780,2616,17112,38,-2606,1545,50,1,U
1376,2004,16500,-570,-341,-743,100,1,U
1216,1672,16492,223,-111,412,150,1,U
1708,1820,16584,463,1660,230,200,1,U
748,1372,17144,1525,1713,-1084,250,1,U
1100,2112,16676,1495,-107,-207,300,1,U
1236,2148,16220,-624,-2033,712,350,1,U
1536,1704,16480,133,-2420,259,400,1,U
1728,2092,16904,1711,-1246,1938,450,1,U
9880,1952,2736,9440,-27724,9188,0,2,U
13176,2572,-632,9309,-15689,5064,50,2,U
13620,2384,-2132,4820,-9775,2328,100,2,U
13508,2876,-1804,2032,-3379,-3466,150,2,U
13340,3616,-2120,-574,-3336,-1032,200,2,U
12964,3724,-3924,-2465,-1384,1111,250,2,U
12672,3048,-4120,-965,5397,-2053,300,2,U
13412,3448,-2444,-1668,8072,-2036,350,2,U
14480,4444,-400,-1289,7525,-285,400,2,U
14056,3848,1004,-4166,10561,-3,450,2,U
-352,436,23288,-1593,-3614,-4817,0,3,U
332,1620,25200,8104,-6543,-4327,50,3,U
-2404,2964,20332,12277,-17307,-652,100,3,U
-488,-1160,21924,6479,-23777,258,150,3,U
2872,448,14668,16538,-32768,-933,200,3,U
11564,7984,9664,20069,-25439,-2327,250,3,U
9780,6712,8200,16384,-16696,402,300,3,U
11088,6372,8060,18789,-32768,2753,350,3,U
10324,7256,3304,6058,-15332,7301,400,3,U
9800,6348,72,2669,-14838,7777,450,3,U
2140,5316,16308,153,-2810,-130,0,4,U
3892,7520,22192,6298,483,-8328,50,4,U
3604,10424,21324,5108,-12361,-1934,100,4,U
2196,4684,23220,-3345,-22338,4390,150,4,U
5396,3404,22828,5948,-19144,-12,200,4,U
6596,6648,14240,11881,-21531,2815,250,4,U
7844,7076,13840,17244,-25612,369,300,4,U
7552,6544,9752,10990,-23638,1569,350,4,U
10084,6704,2176,3762,-27332,8498,400,4,U
9016,4368,-2700,-2570,-24140,9899,450,4,U
3832,7400,17888,5514,-28024,7849,0,5,U
8236,9476,10616,7022,-31316,4152,50,5,U
9568,6356,10348,9865,-31239,6352,100,5,U
11088,6064,3952,13660,-31369,2013,150,5,U
12676,7440,2120,9145,-14652,855,200,5,U
12140,7372,1804,3906,-9729,4501,250,5,U
10384,5672,-452,3015,-11097,2404,300,5,U
9328,4712,-2812,-2390,-5995,3063,350,5,U
8632,3680,-4200,-3493,-4079,4035,400,5,U
10000,4768,-4440,-9986,1666,4342,450,5,U
10656,5304,4180,4043,-18684,2263,0,6,U
11564,5340,2108,3430,-9699,908,50,6,U
11152,4700,580,2144,-1970,-420,100,6,U
10748,4776,12,-147,805,318,150,6,U
10464,4472,1268,-2694,2770,304,200,6,U
10600,4156,1168,-3200,4577,-725,250,6,U
11720,5468,1148,-1785,6765,-1363,300,6,U
12656,6128,4020,-2288,8494,-966,350,6,U
11256,5676,7360,-5145,9383,-431,400,6,U
12500,6352,10196,-4394,7531,-1751,450,6,U
48,4896,15760,46,-22,-111,0,7,U
236,4872,15792,169,0,-262,50,7,U
204,5028,15820,-172,-59,-80,100,7,U
-96,4808,15732,-25,-121,77,150,7,U
-72,5044,15860,217,-64,-274,200,7,U
484,4772,18416,-889,-1157,-138,250,7,U
28,7524,26564,2360,-6015,-3294,300,7,U
-1464,8260,29320,3288,-23581,3787,350,7,U
3787,3787,3787,3787,3787,3787,400,7,U
3787,3787,3787,3787,3787,3787,450,7,U
4812,4584,19220,1293,-12762,-259,0,8,U
6500,5020,17296,3273,-9478,2586,50,8,U
5872,4728,15444,5152,-12551,130,100,8,U
5520,3580,15744,8360,-14934,1242,150,8,U
7536,5108,12360,5333,-11831,2977,200,8,U
9064,5468,12064,1341,-8747,3597,250,8,U
10156,6556,10168,3002,-13788,2424,300,8,U
9480,4352,9500,2610,-13698,1494,350,8,U
10744,4672,6956,2255,-13274,639,400,8,U
10804,4904,3588,155,-13531,1214,450,8,U
8860,4936,11216,3922,-10828,446,0,9,U
8860,4432,10856,-1735,-5776,2943,50,9,U
9612,4440,9080,605,-9325,636,100,9,U
9724,3928,9872,1272,-7882,59,150,9,U
11172,4812,9112,2853,-8186,-1131,200,9,U
11536,5592,6776,2274,-10548,-797,250,9,U
10784,5168,3960,-2104,-6833,1710,300,9,U
10568,4696,1976,-2981,-3273,2335,350,9,U
9868,3572,1236,-2429,3637,1517,400,9,U
10220,3472,2352,-311,7656,40,450,9,U
6588,3308,15160,1192,-12615,694,0,10,U
7596,3528,13020,4718,-16940,-477,50,10,U
8196,4172,12012,434,-12769,1686,100,10,U
7652,3064,11912,804,-11027,-678,150,10,U
10420,3840,10176,1499,-12953,-457,200,10,U
11140,3728,10376,815,-14651,-1961,250,10,U
11352,4064,8828,459,-12774,-2415,300,10,U
11880,4864,5432,-1005,-11746,-1211,350,10,U
10316,5416,2276,-1302,-8664,946,400,10,U
10936,4276,1096,-3141,-1745,2707,450,10,U
-180,4256,14820,2434,-7823,-13018,0,11,R
780,5188,14172,3255,-10521,-10250,50,11,R
132,6120,13672,3297,-11973,-11166,100,11,R
-2248,5972,14412,3189,-6545,-7592,150,11,R
1092,8392,13288,3264,-8823,-6237,200,11,R
1516,8688,13488,225,-9939,-9894,250,11,R
1868,9920,12992,1635,-6909,-8074,300,11,R
692,11628,12588,-205,-7073,-7020,350,11,R
392,11644,12376,-494,-5553,-4965,400,11,R
-360,12360,12044,1644,-2192,-3318,450,11,R
-1648,6124,15224,3774,-1004,-10174,0,12,R
-1124,7544,13528,7166,-10761,-14678,50,12,R
-900,9204,13444,7662,-8681,-16663,100,12,R
-2548,9824,12888,6870,-9361,-9484,150,12,R
436,11328,13900,5850,-9227,-6818,200,12,R
-1576,10872,13140,2183,-10046,-5617,250,12,R
-1268,11864,11728,2427,-15245,-6278,300,12,R
-2228,13368,7188,8104,-8995,-6725,350,12,R
-2072,14384,6664,10503,-2558,-5977,400,12,R
-2808,15196,5708,4387,-786,385,450,12,R
-5536,5708,14948,4790,-2871,-1875,0,13,R
-6088,4764,13876,8269,1657,-3512,50,13,R
-6772,8300,10588,11387,9069,-8446,100,13,R
-8624,7112,10412,6538,12934,-8648,150,13,R
-9492,7468,11024,12885,7472,-9890,200,13,R
-15540,7588,8272,10730,-1655,-4174,250,13,R
-13468,7296,9376,7213,-11053,-1430,300,13,R
-12020,8192,9180,15201,-22082,-4591,350,13,R
-10864,9996,8444,17133,-26443,-5217,400,13,R
-9584,11548,7680,16319,-28217,-1245,450,13,R
