Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-4.48,1.33,8.65,93.32,-16.39,37.34,0,1,U
-4.20,1.91,7.55,94.22,-17.49,39.53,50,1,U
-3.63,2.64,8.08,92.15,-13.48,40.05,100,1,U
-3.23,3.69,6.37,82.21,13.32,32.85,150,1,U
-3.27,3.99,6.22,79.70,-11.83,39.41,200,1,U
-2.57,4.77,5.32,72.46,-31.95,39.97,250,1,U
-1.65,5.20,5.38,70.76,-74.81,40.95,300,1,U
-0.89,5.42,4.84,66.54,-79.82,37.87,350,1,U
-0.31,5.71,5.00,54.76,-63.00,29.77,400,1,U
0.50,5.61,3.73,41.67,-49.26,19.38,450,1,U
-2.79,0.12,11.89,22.87,11.36,20.61,0,2,U
-3.08,-0.07,10.88,53.28,27.06,18.99,50,2,U
-7.05,-0.62,9.55,99.66,-53.34,43.46,100,2,U
-0.19,1.69,8.57,130.78,-78.00,32.33,150,2,U
-1.15,2.56,7.60,119.00,33.25,19.04,200,2,U
-2.65,3.42,7.37,124.14,-7.80,31.99,250,2,U
-0.80,4.55,6.19,118.45,-26.45,28.62,300,2,U
-0.77,4.97,5.53,110.43,-26.45,22.59,350,2,U
-0.14,5.39,4.47,92.26,-17.96,14.94,400,2,U
-0.29,5.37,3.23,70.14,-15.09,13.93,450,2,U
-4.53,-0.18,14.11,30.97,-37.53,40.89,0,3,U
-4.49,-0.05,13.76,65.52,17.26,46.58,50,3,U
-5.45,0.05,11.25,118.19,13.19,49.22,100,3,U
-4.55,0.60,7.21,160.48,-5.04,57.56,150,3,U
-3.23,1.16,2.99,183.40,-40.06,65.90,200,3,U
-1.14,2.79,3.65,179.84,-31.80,59.48,250,3,U
-0.76,4.00,2.98,147.74,-31.38,45.39,300,3,U
-0.83,5.33,1.70,92.03,13.37,30.94,350,3,U
-1.03,6.22,1.91,43.15,0.45,19.20,400,3,U
-0.59,7.40,2.83,-5.47,6.66,4.55,450,3,U
-4.22,2.51,8.29,67.50,-12.02,38.29,0,4,U
-3.07,2.87,7.55,69.29,-16.51,37.98,50,4,U
-2.70,3.66,7.08,68.29,-19.78,32.55,100,4,U
-1.82,3.83,6.49,67.23,-14.54,26.91,150,4,U
-1.32,4.53,5.87,56.01,6.73,16.73,200,4,U
-2.13,4.91,6.33,57.01,-30.18,19.13,250,4,U
-0.87,5.50,5.74,54.89,-27.46,14.95,300,4,U
-1.10,5.92,5.82,51.87,-22.49,13.97,350,4,U
-1.04,6.16,5.43,42.54,-21.39,13.25,400,4,U
-0.39,6.56,5.21,35.77,-26.52,16.09,450,4,U
-4.27,0.88,11.42,53.44,-16.14,25.49,0,5,U
-4.85,1.09,10.87,77.06,-29.05,30.11,50,5,U
-4.35,1.64,10.06,90.35,-32.77,39.38,100,5,U
-4.13,2.40,9.13,101.91,-31.59,42.45,150,5,U
-3.47,3.06,8.20,111.26,-28.07,41.53,200,5,U
-3.19,3.78,7.22,117.50,-21.84,41.85,250,5,U
-2.26,4.61,6.30,122.90,-21.82,37.58,300,5,U
-1.91,5.03,4.55,119.74,-23.23,34.54,350,5,U
-0.80,5.92,3.64,109.50,-1.34,28.67,400,5,U
-1.35,5.93,2.46,93.02,13.76,21.45,450,5,U
-1.47,0.52,11.55,-9.00,-10.49,19.65,0,6,U
-1.67,0.37,12.09,8.53,-1.23,10.38,50,6,U
-1.91,0.43,11.54,32.23,23.41,-14.56,100,6,U
-2.40,0.51,10.96,67.48,15.75,-7.01,150,6,U
-3.25,0.85,9.90,92.21,22.82,1.08,200,6,U
-3.47,1.68,8.80,109.81,-1.24,12.64,250,6,U
-2.98,2.20,8.25,115.87,-12.95,21.26,300,6,U
-2.60,3.15,7.48,116.77,-16.71,26.51,350,6,U
-1.94,3.91,5.86,109.45,15.39,21.99,400,6,U
-1.93,4.47,5.42,100.08,14.18,25.68,450,6,U
-5.46,0.14,10.94,79.50,-13.10,24.77,0,7,U
-4.79,1.15,9.57,108.47,5.13,33.43,50,7,U
-5.08,2.04,7.90,126.18,9.95,43.14,100,7,U
-4.76,3.00,7.06,137.87,2.77,56.24,150,7,U
-4.82,3.66,6.01,130.33,8.34,68.07,200,7,U
-3.07,5.30,4.68,111.27,-16.17,69.54,250,7,U
-2.32,5.41,4.20,92.92,-24.38,64.74,300,7,U
-1.33,5.53,3.24,68.28,-1.34,45.85,350,7,U
-1.19,5.91,2.14,45.30,-11.52,31.15,400,7,U
-0.33,6.42,1.61,9.61,6.61,6.15,450,7,U
-1.72,-1.47,11.69,15.66,-30.58,12.09,0,8,U
-1.68,-1.18,12.80,42.47,-22.51,10.97,50,8,U
-1.83,-0.82,12.25,78.09,-10.84,6.00,100,8,U
-1.80,-0.23,11.49,113.90,-13.88,8.22,150,8,U
-1.44,0.90,10.19,128.91,-2.72,4.84,200,8,U
-1.90,2.04,9.02,127.36,-2.03,13.37,250,8,U
-1.65,2.97,7.65,114.97,-10.67,18.04,300,8,U
-1.16,4.15,6.91,108.58,-32.86,21.80,350,8,U
-0.57,4.52,5.95,95.17,-35.80,18.81,400,8,U
-0.54,4.94,5.68,73.08,-24.41,19.54,450,8,U
-0.24,2.19,13.11,45.22,-15.03,19.90,0,9,U
-0.66,2.12,12.03,82.95,-1.05,8.06,50,9,U
-1.54,2.47,11.01,108.15,3.67,9.03,100,9,U
-1.58,3.02,9.30,123.05,2.20,12.46,150,9,U
-1.51,3.76,8.00,121.07,3.21,20.47,200,9,U
-1.48,4.39,7.35,108.89,1.73,26.02,250,9,U
-0.46,5.19,6.88,101.22,-10.56,30.24,300,9,U
-0.23,5.60,5.59,80.53,20.58,27.43,350,9,U
-0.38,5.91,4.70,77.84,2.67,32.90,400,9,U
0.73,6.19,3.75,57.39,7.91,25.70,450,9,U
-0.93,2.81,9.52,25.27,9.83,-67.12,0,10,R
-1.80,2.79,9.44,34.37,10.22,-79.57,50,10,R
-2.85,3.05,9.17,44.45,5.71,-88.31,100,10,R
-3.63,3.24,8.95,58.42,-10.58,-86.80,150,10,R
-4.18,3.79,7.93,55.61,1.98,-85.73,200,10,R
-4.47,4.26,7.55,54.89,5.58,-80.98,250,10,R
-5.27,4.23,7.09,57.22,9.45,-76.36,300,10,R
-5.42,4.63,7.17,58.30,3.67,-63.84,350,10,R
-5.48,4.65,6.72,61.30,-10.38,-54.36,400,10,R
-5.09,5.07,6.28,60.93,-13.07,-49.47,450,10,R
-1.27,2.80,9.54,10.45,-31.88,-58.35,0,11,R
-1.06,3.10,9.55,21.19,-39.73,-66.21,50,11,R
-1.22,3.25,9.37,22.58,-33.25,-75.42,100,11,R
-1.65,3.44,9.62,31.09,-36.60,-78.54,150,11,R
-2.16,3.62,9.12,35.76,-22.83,-81.70,200,11,R
-2.45,3.96,8.83,39.01,-27.66,-75.57,250,11,R
-2.79,4.04,8.31,37.68,-25.06,-69.62,300,11,R
-2.80,4.34,7.89,35.89,-26.42,-61.80,350,11,R
-2.65,4.52,7.99,29.89,-22.38,-54.74,400,11,R
-2.66,4.71,7.62,21.98,-22.32,-50.83,450,11,R
-0.52,2.07,10.07,19.46,-47.30,-79.12,0,12,R
-0.72,2.13,9.50,22.52,-50.90,-91.97,50,12,R
-0.93,2.30,9.34,25.22,-45.15,-104.67,100,12,R
-1.19,2.46,9.22,27.65,-26.67,-114.73,150,12,R
-2.42,2.61,9.23,34.03,-28.43,-115.15,200,12,R
-2.59,3.05,9.18,36.32,-15.01,-108.75,250,12,R
-3.29,3.34,8.94,41.18,-17.20,-101.04,300,12,R
-3.27,3.77,8.48,44.72,-27.18,-89.10,350,12,R
-3.73,4.32,7.68,42.74,-9.51,-78.87,400,12,R
-4.32,4.68,7.06,38.98,-5.56,-62.52,450,12,R
0.26,1.54,10.23,18.07,-15.30,-37.83,0,13,R
-0.16,1.27,10.39,25.41,-31.33,-60.70,50,13,R
-0.67,1.47,10.04,31.62,-27.13,-81.21,100,13,R
-1.27,1.77,9.74,36.78,-28.57,-92.46,150,13,R
-1.62,2.17,9.31,38.60,-23.59,-100.78,200,13,R
-2.39,2.49,8.92,40.21,-12.67,-106.87,250,13,R
-2.79,2.95,8.73,43.08,-13.74,-106.59,300,13,R
-3.57,3.12,8.67,45.20,-17.78,-102.26,350,13,R
-3.91,3.37,8.58,48.17,-13.60,-95.38,400,13,R
-4.63,3.76,7.85,47.49,-0.64,-83.27,450,13,R
-1.62,1.25,10.41,33.45,-26.96,-88.09,0,14,R
-2.81,1.60,10.17,42.05,-21.22,-94.12,50,14,R
-2.91,2.10,9.16,48.65,-13.70,-92.83,100,14,R
-3.33,2.68,8.53,50.80,-6.48,-89.84,150,14,R
-3.20,3.21,7.86,50.15,-11.45,-87.96,200,14,R
-3.70,3.25,7.98,47.48,-36.07,-83.34,250,14,R
-3.33,3.53,8.02,43.38,-33.83,-80.55,300,14,R
-3.99,3.62,8.25,39.74,-34.12,-71.18,350,14,R
-3.49,3.88,8.07,39.94,-22.02,-66.99,400,14,R
-4.29,4.14,7.73,37.71,-20.71,-55.01,450,14,R
0.06,1.82,10.34,18.45,-26.49,-52.80,0,15,R
-0.36,2.05,9.89,24.36,-24.45,-74.55,50,15,R
-1.43,1.93,9.86,28.87,-38.75,-91.14,100,15,R
-1.82,1.90,9.42,33.43,-37.19,-99.08,150,15,R
-2.76,1.96,9.33,38.53,-20.49,-102.16,200,15,R
-3.43,2.40,8.99,42.53,-25.09,-94.83,250,15,R
-3.69,2.75,8.64,42.82,-20.98,-84.47,300,15,R
-3.50,3.30,8.20,42.13,-10.54,-75.09,350,15,R
-4.00,3.74,7.79,37.24,-11.16,-62.91,400,15,R
-3.95,4.12,7.47,32.98,-10.58,-51.08,450,15,R
-2.68,2.53,9.35,35.11,-30.57,-82.86,0,16,R
-3.00,2.50,9.24,38.79,-36.13,-83.87,50,16,R
-3.09,2.61,8.85,39.27,-22.28,-81.41,100,16,R
-3.70,2.73,8.85,46.46,-36.32,-74.55,150,16,R
-3.36,3.07,8.35,44.26,-17.12,-71.02,200,16,R
-3.55,3.58,8.02,38.80,-17.80,-63.92,250,16,R
-3.39,3.89,7.87,34.95,-6.37,-60.02,300,16,R
-4.02,4.09,7.40,32.30,-9.95,-53.11,350,16,R
-4.11,4.52,7.28,25.67,-7.33,-44.13,400,16,R
-4.22,4.70,7.15,20.23,-10.53,-32.21,450,16,R
-0.51,1.86,10.17,10.43,-19.46,-39.69,0,17,R
-0.71,1.58,10.56,19.58,-27.08,-50.55,50,17,R
-0.66,1.81,9.75,30.05,-11.83,-60.52,100,17,R
-1.11,2.17,9.75,30.91,-17.08,-67.83,150,17,R
-1.61,2.20,9.83,34.51,-22.18,-76.39,200,17,R
-1.59,2.52,9.57,38.76,-19.63,-83.26,250,17,R
-2.46,2.85,9.11,39.18,-27.76,-82.53,300,17,R
-2.52,3.25,8.63,35.02,-41.79,-76.90,350,17,R
-2.60,3.29,8.41,31.11,-37.29,-72.10,400,17,R
-2.70,3.59,8.53,28.38,-26.32,-66.89,450,17,R
-1.66,1.94,9.34,33.10,-28.47,-88.24,0,18,R
-1.88,2.18,9.12,34.54,-27.91,-91.94,50,18,R
-2.10,2.44,9.25,36.22,-31.74,-92.46,100,18,R
-2.17,2.79,9.09,37.26,-24.86,-92.11,150,18,R
-2.85,2.91,9.03,42.08,-19.23,-86.33,200,18,R
-3.28,3.33,8.65,43.61,-17.82,-80.08,250,18,R
-3.10,3.76,8.40,41.91,-18.88,-68.19,300,18,R
-3.23,4.24,8.22,37.54,-11.76,-57.24,350,18,R
-3.20,4.72,8.18,41.90,-6.76,-51.25,400,18,R
-4.06,4.92,7.38,40.22,-9.77,-35.38,450,18,R
-1.00,2.03,9.52,16.89,-34.50,-39.92,0,19,R
-1.57,1.96,9.66,14.37,-46.30,-54.61,50,19,R
-1.72,2.04,9.72,12.63,-51.52,-64.47,100,19,R
-1.86,2.10,9.70,12.49,-51.41,-71.28,150,19,R
-1.76,2.18,9.59,16.36,-54.07,-78.44,200,19,R
-2.13,2.21,9.49,17.56,-46.66,-84.88,250,19,R
-2.18,2.35,9.47,23.25,-49.29,-86.22,300,19,R
-2.29,2.45,9.20,29.23,-44.40,-87.03,350,19,R
-2.75,2.50,8.91,33.55,-31.04,-83.43,400,19,R
-2.70,2.96,8.73,36.82,-22.40,-75.52,450,19,R
3.15,5.94,7.28,-1.63,-1.63,0.62,0,20,D
3.32,5.86,7.43,-2.13,-2.16,-0.55,50,20,D
3.31,5.84,7.36,-1.35,-2.38,-1.08,100,20,D
3.30,5.86,7.43,-0.80,-2.88,-1.66,150,20,D
3.28,5.88,7.41,-0.08,-1.34,-1.60,200,20,D
3.19,5.92,7.27,0.50,-1.30,-1.42,250,20,D
3.22,5.88,7.47,1.19,-3.03,-1.29,300,20,D
